src	trg	nij
AUS	TLS	0.1998315695
AUS	NCL	0.2997473543
AUS	NFK	0.1998315695
AUS	PNG	0.4166413289
FJI	SLB	0.1998315695
FJI	TON	0.1998315695
AUS	VUT	0.3804148549
IRN	IRQ	0.2997473543
CZE	SVK	0.3167255442
AZE	TKM	0.1998315695
BHS	TCA	0.2804990701
ERI	YEM	0.1998315695
GUF	MTQ	0.1998315695
GLP	MTQ	0.3167255442
BDI	RWA	0.3697323384
CMR	GNQ	0.3319130525
CIV	TGO	0.2804990701
FRA	GUF	0.2582785568
MMR	KHM	0.09991578476
CMR	CAF	0.1998315695
CMR	TCD	0.2582785568
DOM	HTI	0.2319972678
CAN	SPM	0.2582785568
CHN	MNG	0.2997473543
CHN	PRK	0.2582785568
GUM	MNP	0.1998315695
FRA	MDG	0.2997473543
MDG	REU	0.3697323384
CRI	NIC	0.2804990701
DNK	FRO	0.1998315695
DNK	GRL	0.09991578476
EGY	ERI	0.09991578476
ETH	SSD	0.1998315695
FJI	KIR	0.2582785568
DEU	GGY	0.1583627721
MLI	MRT	0.09991578476
KEN	SYC	0.09991578476
GUM	FSM	0.1998315695
JPN	PLW	0.2319972678
IRL	IMN	0.09991578476
ESP	ESH	0.2582785568
MDG	MYT	0.3581943416
