"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2010","2010",529000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2011","2011",545900,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2012","2012",558500,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2013","2013",567700,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2014","2014",577800,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2015","2015",590400,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2016","2016",605600,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2017","2017",621600,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","BEL","Belgium","2018","2018",632600,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2000","2000",1421480,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2001","2001",1457780,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2002","2002",1493355,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2003","2003",1538775,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2004","2004",1550020,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2005","2005",1566225,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2006","2006",1606010,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2007","2007",1657210,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2008","2008",1693380,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2009","2009",1737835,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2010","2010",1782535,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2011","2011",1817985,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2012","2012",1832145,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CAN","Canada","2013","2013",1856910,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2000","2000",255486,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2001","2001",258598,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2002","2002",265879,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2003","2003",273473,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2004","2004",262365,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2005","2005",272186,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2006","2006",280348,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2007","2007",283771,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2008","2008",295923,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2009","2009",300193,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2010","2010",298508,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2011","2011",306410,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2012","2012",310430,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2013","2013",312427,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2014","2014",319593,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2015","2015",322470,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2016","2016",330392,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2017","2017",342959,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","CZE","Czech Republic","2018","2018",349008,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2000","2000",477000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2001","2001",487000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2002","2002",491000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2003","2003",494000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2004","2004",493000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2005","2005",497000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2006","2006",504000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2007","2007",507000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2008","2008",506000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2009","2009",520000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2010","2010",523000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2011","2011",513000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2012","2012",507000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2013","2013",511000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2014","2014",508000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2015","2015",506000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2016","2016",506000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2017","2017",511000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DNK","Denmark","2018","2018",519000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FIN","Finland","2000","2000",303900,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FIN","Finland","2001","2001",314000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FIN","Finland","2002","2002",321000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FIN","Finland","2003","2003",324900,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FIN","Finland","2004","2004",330000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FIN","Finland","2005","2005",336600,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FIN","Finland","2006","2006",342500,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FIN","Finland","2007","2007",348500,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FIN","Finland","2008","2008",360500,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FIN","Finland","2009","2009",368200,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FIN","Finland","2010","2010",372000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FIN","Finland","2011","2011",382000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FIN","Finland","2012","2012",392400,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FIN","Finland","2013","2013",395900,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FIN","Finland","2014","2014",397200,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FIN","Finland","2015","2015",402400,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FIN","Finland","2016","2016",407800,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FIN","Finland","2017","2017",413900,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FIN","Finland","2018","2018",426600,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FRA","France","2000","2000",3058000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FRA","France","2001","2001",3052000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FRA","France","2002","2002",3078000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FRA","France","2003","2003",3109000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FRA","France","2004","2004",3182000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FRA","France","2005","2005",3269000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FRA","France","2006","2006",3353000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FRA","France","2007","2007",3436000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FRA","France","2008","2008",3482000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FRA","France","2009","2009",3565000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FRA","France","2010","2010",3624000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FRA","France","2011","2011",3691000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FRA","France","2012","2012",3731000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FRA","France","2013","2013",3777000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FRA","France","2014","2014",3835000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FRA","France","2015","2015",3869000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FRA","France","2016","2016",3890000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","FRA","France","2017","2017",3901000,"P","Provisional value"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DEU","Germany","2000","2000",4136000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DEU","Germany","2001","2001",4146000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DEU","Germany","2002","2002",4268000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DEU","Germany","2003","2003",4316000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DEU","Germany","2004","2004",4389000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DEU","Germany","2005","2005",4448000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DEU","Germany","2006","2006",4467000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DEU","Germany","2007","2007",4518000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DEU","Germany","2008","2008",4613000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DEU","Germany","2009","2009",4755000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DEU","Germany","2010","2010",4875000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DEU","Germany","2011","2011",4965000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DEU","Germany","2012","2012",5086000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DEU","Germany","2013","2013",5192000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DEU","Germany","2014","2014",5317000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DEU","Germany","2015","2015",5493000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DEU","Germany","2016","2016",5681000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DEU","Germany","2017","2017",5812000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","DEU","Germany","2018","2018",5942000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","GRC","Greece","2000","2000",180829,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","GRC","Greece","2001","2001",180072,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","GRC","Greece","2002","2002",186154,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","GRC","Greece","2003","2003",188795,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","GRC","Greece","2004","2004",218091,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","GRC","Greece","2005","2005",215308,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","GRC","Greece","2006","2006",221908,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","GRC","Greece","2007","2007",236083,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","GRC","Greece","2008","2008",232870,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","GRC","Greece","2009","2009",231592,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","GRC","Greece","2010","2010",237166,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","GRC","Greece","2011","2011",231766,"P","Provisional value"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","GRC","Greece","2012","2012",223531,"P","Provisional value"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","GRC","Greece","2013","2013",214858,"P","Provisional value"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","GRC","Greece","2014","2014",212982,"P","Provisional value"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","GRC","Greece","2015","2015",216246,"P","Provisional value"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","GRC","Greece","2016","2016",220484,"P","Provisional value"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","GRC","Greece","2017","2017",223227,"P","Provisional value"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","HUN","Hungary","2000","2000",260349,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","HUN","Hungary","2001","2001",255321,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","HUN","Hungary","2002","2002",257430,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","HUN","Hungary","2003","2003",284483,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","HUN","Hungary","2004","2004",284287,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","HUN","Hungary","2005","2005",276894,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","HUN","Hungary","2006","2006",282076,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","HUN","Hungary","2007","2007",269977,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","HUN","Hungary","2008","2008",263829,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","HUN","Hungary","2009","2009",287375,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","HUN","Hungary","2010","2010",265258,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","HUN","Hungary","2011","2011",276400,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","HUN","Hungary","2012","2012",270666,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","HUN","Hungary","2013","2013",279869,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","HUN","Hungary","2014","2014",292352,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","HUN","Hungary","2015","2015",296577,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","HUN","Hungary","2016","2016",305168,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","HUN","Hungary","2017","2017",303986,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","HUN","Hungary","2018","2018",325779,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","ISL","Iceland","2008","2008",20200,"P","Provisional value"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","ISL","Iceland","2009","2009",20800,"P","Provisional value"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","ISL","Iceland","2010","2010",20200,"P","Provisional value"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","ISL","Iceland","2011","2011",19800,"P","Provisional value"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","ISL","Iceland","2012","2012",19900,"P","Provisional value"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","ISL","Iceland","2013","2013",20200,"P","Provisional value"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","ISL","Iceland","2014","2014",20700,"P","Provisional value"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","ISL","Iceland","2015","2015",21100,"P","Provisional value"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","ISL","Iceland","2016","2016",21100,"P","Provisional value"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","ISL","Iceland","2017","2017",21600,"P","Provisional value"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","ISL","Iceland","2018","2018",22600,"P","Provisional value"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","ISL","Iceland","2019","2019",23600,"P","Provisional value"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","IRL","Ireland","2000","2000",132856.34,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","IRL","Ireland","2001","2001",145226.03,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","IRL","Ireland","2002","2002",159231.29,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","IRL","Ireland","2003","2003",171613.67,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","IRL","Ireland","2004","2004",179420.09,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","IRL","Ireland","2005","2005",189607.03,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","IRL","Ireland","2006","2006",204385.99,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","IRL","Ireland","2007","2007",217727.9,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","IRL","Ireland","2008","2008",226096.11,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","IRL","Ireland","2009","2009",233488.22,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","IRL","Ireland","2010","2010",229732.79,"B","Break"
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","IRL","Ireland","2011","2011",231772.06,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","IRL","Ireland","2012","2012",233654.7,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","IRL","Ireland","2013","2013",237193.31,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","IRL","Ireland","2014","2014",239393.66,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","IRL","Ireland","2015","2015",245031.51,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","IRL","Ireland","2016","2016",248827.49,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","IRL","Ireland","2017","2017",255622.82,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","IRL","Ireland","2018","2018",259434.1,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","ITA","Italy","2000","2000",1498100,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","ITA","Italy","2001","2001",1533500,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","ITA","Italy","2002","2002",1558500,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","ITA","Italy","2003","2003",1587400,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","ITA","Italy","2004","2004",1616800,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","ITA","Italy","2005","2005",1641200,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","ITA","Italy","2006","2006",1651500,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","ITA","Italy","2007","2007",1660500,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","ITA","Italy","2008","2008",1707500,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","ITA","Italy","2009","2009",1723500,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","ITA","Italy","2010","2010",1740000,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","ITA","Italy","2011","2011",1776700,,
"GEHETHSM","Total health and social employment","PERSMYNB","Number of persons (head counts)","ITA","Italy","2012","2012",1797200,,
