"iso_code_src","iso_code_trg","name","selected","shared name"
"CIV","CIV","Côte d'Ivoire","false","Côte d'Ivoire"
"GHA","GHA","Ghana","false","Ghana"
"SEN","SEN","Senegal","false","Senegal"
"BEN","BEN","Benin","false","Benin"
"GIN","GIN","Guinea","false","Guinea"
"LBN","LBN","Lebanon","false","Lebanon"
"MAR","MAR","Morocco","false","Morocco"
"SLE","SLE","Sierra Leone","false","Sierra Leone"
"GNB","GNB","Guinea-Bissau","false","Guinea-Bissau"
"TUN","TUN","Tunisia","false","Tunisia"
"ARG","ARG","Argentina","false","Argentina"
"BRA","BRA","Brazil","false","Brazil"
"CHL","CHL","Chile","false","Chile"
"PER","PER","Peru","false","Peru"
"PAN","PAN","Panama","false","Panama"
"PRY","PRY","Paraguay","false","Paraguay"
"URY","URY","Uruguay","false","Uruguay"
"CMR","CMR","Cameroon","false","Cameroon"
"COG","COG","Congo","false","Congo"
"GAB","GAB","Gabon","false","Gabon"
"MEX","MEX","Mexico","false","Mexico"
"VEN","VEN","Venezuela (Bolivarian Republic of)","false","Venezuela (Bolivarian Republic of)"
"DOM","DOM","Dominican Republic","false","Dominican Republic"
"ATG","ATG","Antigua and Barbuda","false","Antigua and Barbuda"
"LCA",,"Saint Lucia","false","Saint Lucia"
"GLP","GLP","Guadeloupe","false","Guadeloupe"
,"WSM","Saint Kitts and Nevis","false","Saint Kitts and Nevis"
,,"Netherlands Antilles","false","Netherlands Antilles"
"TTO","TTO","Trinidad and Tobago","false","Trinidad and Tobago"
"AIA","AIA","Anguilla","false","Anguilla"
"DMA","DMA","Dominica","false","Dominica"
"MTQ","MTQ","Martinique","false","Martinique"
"BOL","BOL","Bolivia","false","Bolivia"
"COL","COL","Colombia","false","Colombia"
"ECU","ECU","Ecuador","false","Ecuador"
"LTU","LTU","Lithuania","false","Lithuania"
"CAF","CAF","Central African Republic","false","Central African Republic"
"TCD","TCD","Chad","false","Chad"
"ISL","ISL","Iceland","false","Iceland"
"GRL","GRL","Greenland","false","Greenland"
"MYT","MYT","Mayotte","false","Mayotte"
"ROU","ROU","Romania","false","Romania"
"MLT",,"Malta","false","Malta"
"ERI","ERI","Eritrea","false","Eritrea"
"GRD","GRD","Grenada","false","Grenada"
"KIR",,"Kiribati","false","Kiribati"
"FSM","FSM","Micronesia (Federated States of)","false","Micronesia (Federated States of)"
"HND","HND","Honduras","false","Honduras"
"STP",,"Sao Tome and Principe","false","Sao Tome and Principe"
"MHL",,"Marshall Islands","false","Marshall Islands"
